"","Date","Username","Located","Rating","Review"
"25","6/10/2019","Andrew L.","Austin, TX",4,"Came here on a Sunday evening to catch the game and grab dinner. Fairly sparse crowd as you'd expect for a Sunday night, but plenty of tvs which made it easy to watch. Great variety of beers available at reasonable prices. Their flight deal (4 5oz beers costs however much the most expensive of the 4 as a pint is) is one of the best values I can remember. Nachos were tasty, nice serving size for the price, but nothing to write home about. The stir fry was much better than you would expect from a sports bar! All the veggies were well roasted, the chicken wasn't too dry and the Szechuan sauce went nicely with all of it. Overall, chill place to catch a game with a wider array of food options than the appearance would lead you to believe."
"26","1/12/2021","David R.","Kent, OH",4,"An icon of the Kent scene. Above average bar fare, decent drinks. I wouldn't make a special trip there just for the food, but as I stated earlier it is an icon of the Kent scene and must be experienced.... Oh, the staff is fantastic"
"27","2/25/2021","Jason S.","Milwaukee, WI",4,"Ray's a great go to in the college scene that is downtown Kent. Having visited prior to the pandemic, the experience was just as I remembered from 20 years earlier - great food, great selection of beers, loud lively 'ambience' and just the vibe you'd expect a long standing 'go-to' divey like place to have. The sandwich, wings, and soup were all good to great. The service was pretty good too and the seating options pretty good, depending on your preferences. Good burgers or really good pastrami on rye would be my recommendations for the first timers."
"28","5/9/2020","Cherie H.","Rootstown, OH",3,"Entree: Chicken Parm Sandwich w/friesMy first couple of bites were really good. It was juicy and had a lot of sauce and cheese which I love!! However the next bites after that were a little dry. If the chicken wasn't overcooked it would be delish. It think it just went a little too long. The fries were undercooked and a little cold. Overall: It was ok Return Visit: I am willing to give it another try. Cost: $#letseat #clevelandfoodie #akronfoodie #akron #food #lovetotrynewfood #akronohio #akron #tremont #foodporn #foodie #akronfoodie #akron #food #lovefood #cleveland #tremont #northside #akronsfinest #columbus #germanvillage #germanfood #cantonfoodie #kentfoodie #kent #ohio"
"29","11/16/2021","A.J. H.","Central LA, Los Angeles, CA",5,"My wife and I stopped in for a beer and a quick bite. Our family's been telling us about this place for years. It lived up to the hype. Loved the vibe, beer selection, and the food was amazing. Will definitely be back!"
"30","3/6/2022","Rochelle K.","Warren, OH",2,"I love this place! Have been coming to this bar for years .My son bartended there during his college years! The food was always so good ! Well that has changed. We ate there last night and I didn't recognize anything we ordered except the onion rings. I ordered a Rueben Sandwich. The corn beef was so tuff and the  sauerkraut was tasteless. The pumpernickel bun it came on was awful. Rueben's are supposed to be on grilled rye or marble rye . The bun wasn't even grilled. Another person ordered a club sandwich and the bacon wasn't even cooked completely. The fried pickles came out of a bag I'm sure! You couldn't even tell it was a pickle. My husband has never not finished a hamburger but he got the stuffed burger and couldn't finish it. The nachos we're disgusting . Can't complain about the service everyone was so nice. They did exchange my sandwich for a cheeseburger that was good! Don't know that we will be going back! It's so disappointing. So many good memories at Rays Place! Fix the menu or fix the chef !"
"31","1/8/2018","Lindy F.","Atlanta, GA",4,"""Yeah! That's my mo-fo!"" -- Jerry Maguire (1996)I travel quite a bit for work and rely on Yelp to help me find the right places to eat (Thanks fellow Yelpers). My coworker was no help, so I happened upon Rays. I ready so much about the Jerk fries and the MoFo Burger, we just had to come.This is definitely a ""hang-out"" type of joint. The place was busy, but not too busy. A more relaxed atmosphere, but this isn't a place to come when you are in a hurry. My coworker and I grabbed a seat and ordered a couple of things to start and a couple of drinks. He was happy with the beer selection, so we were all set. Jerk fries are where's its at! This is a MUST. So flavorful, you just can't stop eating them. We also ordered the fried mac n cheese. They were good, but paled in comparison to the fries. I mean, really everything did. I also ordered the MoFo Burger (as instructed by fellow Yelpers) and I wasn't disappointed, but it was a lot. It's a double stack, but more-so than I am used to where I am from. Usually, they are super thin patties. So when I was asked how I wanted it cooked, I knew it was going to be big.The burger came out medium (as instructed) and it was juicy and delicious. Piled high with toppings (mushrooms, ftw) and tough to eat (who has a mouth that big?). I had to squash it down to be able to eat it - and it was pretty messy. I was too full to try the peanut butter pie (fail), but man it looked amazing. I would come back again, for sure.But damn those fries..."
"32","3/10/2021","Jack M.","Stow, OH",5,"Ray's IS the place!beer selection? amazing!food? always delicious!smoked food?must have!I've been going to Rays since 1981and I've loved it every time.try it, you'll like it"
"33","3/5/2022","Billy C.","OH, OH",1,"I was given an extremely hard time by the floor manager of this place. She told me my ID was fake simply because it was an out of state ID. How embarrassing. Next time anyone from the northeast comes here, I hop you invite the entire national guard with you. Otherwise, please do not expect to be able to come into this establishment."
"34","9/23/2018","Emily L.","Columbus, OH",4,"A little bit loud, BUT overall wonderful place! Absolutely delicious, homemade everything!! It's a bar, so makes sense. I got the Mustard Seed 2.0 and a side of French Onion Soup, both we're super filling and absolutely delicious. Classic place to go in Kent and wonderful selection of beers on draft, too! Enjoyed an Oktoberfest. Mussels and Pickle fries as an appetizer, yummy! Super delish seasoning on the food, and the French onion soup was absolutely perfect.Definitely a cute, traditional place to visit while in Kent!"
"35","7/29/2021","Vickilyn J.","MD, MD",5,"Our favorite place for dinner and a beer in Kent! The on-tap list goes on and on. Poutine fries (with house smoked pulled pork), chili, and the veggie pitas are some of our favorites."
"36","3/18/2019","Keri M.","Cincinnati, OH",5,"This is my favorite place to go in NE Ohio, anytime and all the time.  The beer selection is absolutely crazy - I cannot tell you how many they have on tap and bottled - but pretty much any beer you'd like to sample, well they have it, especially NE Ohio beers.  Of course they serve traditionals like Guinness and Bass, one of the only places I know of to get Bass on draft.The food is wonder for a pub venue.  The wings are the best in NE Ohio by far, and among the best I have ever had, big, meaty and deliciously prepared with a choice of many sauces.  The burgers are awesome, and the double burger with cheddar and bacon is a culinary killer.  The chicken quesadilla delicious and quite filling, as are the hot nachos.  We go every week and have - never - had a bad meal at Ray's.  French onion soup, BBQ, salads... everything is prepared fresh and carefully.Ray's atmosphere is also wonderful.  The waitstaff is amazingly attentive considering just how busy it is here... and it is always busy on any day of the week (I've been on every day...).  The Pub is also for everyone - old, young babies, college kids, retired, even people ordering a bottle of wine... in an Irish Pub.  Plus, it is located in downtown Kent.I just love Ray's... it's my go-to for food and beer, and I highly recommend it."
"37","9/20/2018","Chad D.","Tallmadge, OH",4,"Service was 5 stars, Everyone walking by checked on us! Food was good, but we felt some of it was a little bland. However the menu is extensive, we'll be back to try out other things!"
"38","8/28/2018","Rick L.","Youngstown, OH",4,"Loving this place. Lunch. Very friendly staff, great food, and great place! Love the view and the walk to get here. Right downtown, but you can wander around and bump into things, to work up an appetite. Daily specials, beer and food. The menu is killer.  Just pretty darn happy right now, all due to this place.  Thank you Ray's!"
"39","2/14/2020","Robert S.","Aurora, OH",5,"Amazing food and drinks.  Boddingtons on draft. Fantastic menu. Great atmosphere."
"40","7/17/2018","Jim F.","Mount Pleasant, SC",5,"Whenever we visit Kent Ohio we always look forward to eating at Rays...we are never disappointed!all the food is great so its hard to pick but the burger is unreal! Fresh cut homemade fries and of course, the largest selection of cold brews in the area. Highly recommend to all!"
"41","8/15/2021","Marc C.","Westerville, OH",3,"This place was highly recommended by a few coworkers. Everyone said to try the wings. I ordered the smoked wings with the Cilantro-Lime-garlic sauce on the side. I was disappointed as the wings were very dry, inside and out, and the outside was crunchy. These almost appeared & tasted like they were Fried, not smoked. I've eaten plenty of wings, as they are my top 5 fav foods, and these just didn't live up to the hype. With enough sauce I did eat them because they were edible and I don't like to waste. My two other friends enjoyed their food! Would've given a 4 star review but I gave a 3 star because of the service. Our waitress came to our table once to give us waters and then to drop off our food. Never saw her again after that. After sitting for awhile and not seeing her, we finally asked the hostess for the check. Since my friends enjoyed their food, I would give Ray's Place another chance because I do understand every place has an off day."
"42","8/16/2019","Desiree C.","Victorian Village, Columbus, OH",1,"I have NEVER experienced something like this before. My boyfriend and I were in town for my graduation. We walked over to eat dinner from a quick beer at Water Street Bar at 5pm. We had a plastic Kent State souvenir cup (empty) and we sat at the bar. An older bartender yelled at us for having the cup saying they were a direct competitor. We didn't have anywhere to put the cup so he wouldn't serve us. He told us we were advertising another bar as he continued to yell. He made a scene in front of customers. I think he lost more customers yelling at us and making a scene about it rather than the ""cup advertising"". I have never been to Kent State (I'm a distance learner) so I'm not familiar with Kent State. DO NOT support an establishment that treats their customers like this. I do not recommend this place. We never made it to the food because he refused to serve us with the cup. I would give this place negative 20 stars if I could."
"43","8/17/2019","Tehya M.","Kent, OH",4,"This place is one of those restaurants/bars you always come to if you're in Kent. That being said, it's almost always busy here and it gives for room for your order to be wrong/longer wait times. I highly recommend the wings, either smoked and traditional. Our server recommended the cilantro lime garlic sauce and it didn't disappoint!! I usually come here while on a bar crawl but I would come back for the food also"
"44","10/29/2019","Robin S.","Tallmadge, OH",3,"A Kent landmark. Generations of students and townies have eaten here side-by-side.Excellent burgers that are on the large side. Their Mo-Fo Burger has been lauded by celebrity chef Michael Simon as the best burger he's ever had but it is beyond my capabilities.The dining room is not especially comfortable; wooden stools, straight-backed chairs, or hard wooden booths are the seating options. The decor is average dive bar and the music is meh. Lotsa tvs tuned in to sports. A second bar is located upstairs and is a popular spot for private parties. Catering is available there.Servers are attentive without hovering."
"45","8/30/2020","Glenn G.","Garrettsville, OH",5,"Ray's is open again and serving the best burgers in Kent. I challenge you to find better! The meat is slightly charred, has great grilled flavor. Fries and o-rings are awesome, and the chili is top notch. Get there on a Friday when they have clam chowder, it's outstanding. Keep up the good work!"
"46","10/14/2019","Jenna C.","Kapolei, HI",5,"Great food. Great service. Great atmosphere. My husband and I came here for lunch and we will not leave disappointed. If in Kent, must stop for a bite."
"47","5/27/2018","John T.","Chicago, IL",3,"Looking for a beer and a burger? Look no further. This place has a great selection on tap. Be sure to try their beer flight to get a good buzz going.Food is flavorful; I'm especially taken with the MoFo burger and the wings. The wings, in particular, were not over-fried nor dry and stringy - rather, they were perfectly juicy, tender, and hot.Overall, the dining/drinking experience was a good one. Service was snappy. Get a bar seat to observe the bartenders punch in sales on an old-time cash register. It's all good fun."
"48","6/1/2020","Julianne M.","Cuyahoga Falls, OH",5,"Try a signature Long Island and their burgers. Cheap prices, great bar, good food and drinks!"
"49","12/13/2020","Tracy H.","Tallmadge, OH",2,"Last Saturday was my fist and last visit. My daughter left her purse there and called the next morning to ask about it. She was told there was no purse. She drove up and asked if she could look upstairs where she had been seated, and was told no, because there were customers. The manager took her name and said he would call her if they located it. She got no phone call. She cancelled her credit cards. The next day after work, her husband went up there and was able to walk upstairs where the purse was exactly where she left it. Terrible way to treat customers. He obviously never looked for it. The only bright spot of the visit was the waiter. He was awesome."
"50","6/11/2021","Glenn F.","Cuyahoga Falls, OH",4,"Good burgers and good beer on a Friday night. Wait staff are friendly and prompt. Always enjoy going to Ray's Place."
"51","6/25/2019","Matt M.","Stow, OH",5,"This one is more for nostalgia than anything. Ray's is and always will be my favorite place in Kent. Nothing fancy and the downstairs lighting will always be a bit too bright, but you gotta love Ray's Place.The staff is always professional and attentive. They aren't always warm and fuzzy, but they are real - and that to me is better than being around someone trying to fake it through the night!The food at Ray's is very good for bar food and the tap lines are always clean, so hangovers aren't as bad...which is important!!I definitely recommend Ray's Place when you visit Kent.  It's an institution."
"52","7/26/2019","Dicky L.","Cardiff-by-the-Sea, CA",3,"This place was recommended by a colleague and it was ok. Ray's has a ton of taps and a variety of bottles and cans, so they have options for any beer lover. The staff was attentive and friendly. I had fried pickles which were great. I tried the sandwich special which was mediocre at best. Their menu has plenty to choose from, but I typically go for specials... well because they are usually special. No need to call it out, but it makes you wonder about the rest of the menu. At any rate, the staff and beer selection make this place worth while."
"53","3/10/2019","David C.","Woodstock, IL",4,"Ray's was recommended by a student at Kent State while we were on a college visit. Since we needed lunch and ended up at the fashion building on the downtown edge of the campus anyway we walked to the railroad tracks. it was hard to find. signage is very subtle, the awning was clear but hard to see from the sidewalk. just look for a Irish pub kind of place.the ground level was packed at 4 pm on a Friday. fun kind of Irish pub place, servers racing around. the hostess suggested we go upstairs since it was crowded and we had 5 people. very good suggestion as we were the first to be seated. I got the 4-flight of beers, including an imperial Stout, a gose, and a house IPA. I love the flights.we started with fried pickles, since some of the kids had not had them. excellent. we all had burgers. the student recommended the""mofo"" Burger, but it looked too big. I ended up with the stuffed gourmet, which was about 6 inches tall and excellent. others did the naked burger and dressed it. I had the jerk fries; they were good, but not real jerky, more like seasoned fries. they were good and greasy. we left very full and the upstairs dining room was packed by the time we left. popular place and with good reason."
"54","10/25/2020","Bret W.","Northfield, OH",5,"Among the top wings I've had. Try them plain with the sauces on the side! Crazy selection of draft beers to top it off."
"55","3/7/2017","Chad B.","FL, FL",5,"Ray's is hands down my favorite place in NE Ohio to get a Burger!  When you want good old Bar Food, this is where you go. While the Burgers are the highlight for me, the wings and fries are also huge hits! Especially the Jerk Fries!  The also have a fairly extensive list of Craft Beers on tap and in bottle. Each time I go I find something new.  The first time I was here I found my favorite burger, the MoFo! I got to wash it down with a WTF beer! I love telling that story. Ray's is the only place I know where you can get a MoFo and WTF!It can get crowded in here at peak times but they do have downstairs and upstairs seating. If one looks busy, check the other. It is a perfect place for after work gatherings or parties. They have always accommodated our large work groups if we call a few days ahead.  The staff has been great and always knowledgeable of the menu including drinks.  Since it is located in downtown Kent, parking can be tricky at times but if you luck out, you can find free street parking. Just don't try to park across the street in the Puffer Belly lot. They watch it like hawks!"
"56","2/17/2020","Short Stories By M.","Vancouver, WA",5,"I was in the  mood food Guinness draft and mussels and this place had it.  Good attentive service and reasonable prices."
"57","12/9/2018","Jimmy O.","Elyria, OH",4,"So.....we came here and got seated, party of 5, after about 20 minutes. Once seated we got our drinks in about 10 minutes later. Ordered about 10 minutes after that. That was the last time I saw an employee of Ray's at our table for the next 40 minutes. We watched as other tables, that were seated after us, got their food. I finally got our waiter's attention and asked about our food. I was assured it was on its way out in 5 or 10 minutes. 25 minutes later I got up, found our waiter, and asked him why we still had no food. That's an hour and a half after being seated if you're keeping score. While I was talking to the waiter, the manager came up and asked what the problem was. I told him and he explained that he instructed his staff to tell everyone that the food would take an hour after ordered. Had we been told that, we would have never sat. It was now 9pm. That was the extent of our conversation. The food arrived shortly thereafter. This is where my negative review falls off the rails. It was amazing. Every single item. Amazing. It was legitimately one of my favorite meals. As we were finishing up, the waiter came and apologized and said the manager was comping the entire meal because of the delay. I went back to the manager and told him I didn't want a free meal. I told him the problems we were having were not related to the food. I WANTED to pay for the meal because it was that good. He refused and simply asked that we give them another try when it wasn't so busy (because of KSU move in day presumably) and I agreed to do that. I will update this review once we eat there again. I tipped the waiter 20 bucks and we left. I'm giving three stars because the wait really was atrocious, but the food. Man. So good. We'll be back soon.  I have high hopesUpdate 12-8-18:True to my word we came back. Service was spot on and the food was equally as good as before. I got the wings and they weren't my style, but they were good. I like my wings a little thinner and dryer and these things were monsters. Like I said, good just not for me. The rest of the food was great. Family of 5 for $60. We'll be back. The first time looks like a fluke."
"58","9/7/2018","Donna O.","Columbus, OH",4,"Ray's Place is one of those legendary-to-locals restaurant/bars that many college towns have - lots of sports and local memorabilia on the walls, scuffed floorboards, sassy wait staff and big plates of food washed down with beer. Ray's does it better than most. We walked in on a Saturday evening (the night of the NBA finals!) and made our way around the big bar/dining room to a table. While it was self-seating for us, I doubt it's like that when it's super-busy. Lots of families chowing down on wings and other bar food. Our server was nice, attentive and a whirlwind as the crowd got bigger.The menu is large and varied, with plenty of seafood on the menu, and lots of Greek/Mediterranean influences in the dishes (read Feta and goat cheese, olives, etc.). They must be known for their Fo-Mo burger, which is a double cheeseburger with bacon, mushrooms and all the fixins. Looked good, but we ended up with a Pittsburgh throwback ""Steak-n-Fry"" salad for the spouse and a French onion soup (decent) and a half-smoked chicken for me. The chicken specifically tasted like it had been in the smoker all day - nicely done.Honestly? Traditional non-fancy bar food should be this good always. Stop up at Ray's to try it for yourself."
"59","9/15/2016","Danielle F.","Cuyahoga Falls, OH",4,"What a neat little place. They have a great menu with lots of selections. Pleasant staff. The food was delicious. Definitely will visit again."
"60","3/8/2021","Emily P.","Cleveland, OH",1,"Thought this place seemed cool and I heard good things but went in to get food just to get greeted by a very unprofessional manager who thought a member of the party had a fake passport despite everyone in the group being well over 21. Wouldn't waste my business here"
"61","7/11/2020",NA,NA,NA,NA
"62","4/7/2019","Roy C.","Cleveland, OH",3,"Not a bad joint to visit in Kent.  Menu is huge. The seating I feel can be arranged a little different for more of a welcoming feeling.  You walk in and BAM!  It feels like you are walking into a mosh pit lol. Place would benefit with a hostess and seating away from the front door. If I'm in the area I'll definitely give it another shot."
"63","10/11/2019","Margot R.","Vancouver, WA",5,"Great food, beer selection, full bar and great service! Whenever we are in town this is a must stop and never disappoints. All food is good and there is something everyone will enjoy   We had mussels for lunch. Loved them, but it is hard to chose because there are so many great things on the men"
"64","9/30/2019","Ken C.","Stow, OH",5,"When I think bacon cheeseburger and a cold one, Ray's is the only place!! Try the French fries too, you won't be disappointed."
"65","3/2/2021","Charles N.","Conway, AR",5,"Great vibes. Great service. Nice location in downtown Kent. The place was packed which is nice. It's always fun to feel like you chose a happening spot, and this did the trick. It had one of my all time favorite beers on tap, the Willoughby Peanut Butter Coffee Porter. While I love the PBCP, I might be outgrowing it as it was crazy sweet. Anyway, they had tons of other beers on tap. About 20-30 in fact. They also have a huge selection of canned/bottled beers that make for a huge selection. Good prices as well. As for the food, I just had a dozen smoked wings. They were good (but it's kind of hard to mess up wings). I'm curious to try more food off the menu. If end up living here, I'm sure to be a regular at Ray's place."
"66","5/2/2018","Bob G.","Northampton, PA",5,"The hot pastrami sandwich was amazing. I've never had pastrami with such a great smoky flavor."
"67","8/23/2020","Tom S.","Easton, MD",5,"I really like the atmosphere. The service and food were great.  Got the MoFo burger which was very good although messy!  Looks as though they are renovating the downstairs and only upstairs was open.  Great place for a late afternoon burger and a couple of beers."
"68","7/25/2019","Speedy D.","Nashville, TN",5,"When in townI always stop in to See Charlie Ray &Go Crazy. When in Kent visiting state U"
"69","12/18/2018","Ian B.","Solon, OH",5,"Ray's place is a must stop if you're in the Kent OH area. They food is always on point and their variety is what sets them apart from the other bars in the area. They are known for their wide variety of draft beer, so if you're a beer lover, you're in luck! They are also known for their long island ice teas, so be sure to pick one up as well. The staff is always friendly and the place is always clean. Definitely one of my top 5 favorite bars"
"70","7/20/2019","Michael V.","Mebane, NC",1,"Avoid this place until they get their kitchen in order. On a normal, not that busy night the kitchen took almost two hours to send our two burgers, dozen wings and basket of fries. Ridiculous. The burger came raw. This place needs to get their act together."
"71","12/26/2017","David H.","Sydney, Australia",4,"I came here for a lunch meeting. I ordered the hamburger well done and it tasted delicious. I had the jerk fries and they tasted great! A recommendation for sure. It was a little busy and crowded but we got our food quickly. Parking was available but you have to pay. We parked about a block away where it was free. I really want to stop here for a beer next time Im in town."
"72","6/15/2018",NA,NA,NA,NA
"73","6/26/2015","Mandy L.","Kent, OH",5,"Ray's has some great food including the best burgers in Kent and what I would argue is the best sandwich I've yet had in Kent - the CUBAN.  I tried the Cuban once on a whim and now I am obsessed. The Cuban consists of smoked pulled pork and ham (double pork!) sandwiched in between two flatbreads with melty cheese (I usually ask for Pepperjack but it comes with Swiss) and crispy wonderful dill pickle slices. It is served with a side of ""Annato Mayo"" which is an unusual sauce that I find intellectually confusing but quite palatable and complimentary to the sandwich in practice. This sandwich is BIG so I'm usually left with at least a second half that gets happily devoured for lunch later in the week. Amazing with their jerk fries which are fantastically spiced! (And a ""single"" order of fries, as opposed to the ""basket"", comes in a smaller basket and is plenty for two to split!) It's often quite busy, and sometimes it's difficult to find a table if the upstairs is closed. You can eat at the bar but waiting around is well worth it as well!  They run a tight ship here and I've found service is consistently good even when they're slammed.In terms of it also being a bar, they have a wonderful selection of drafts and ok cocktails. Long Island Ice teas seem to be perpetually on sale and they are ok too. For some reason, this is the bar everyone decides they want to be at around 1:30am. I've never understood waiting at the door to get into a bar fifteen minutes before last call but I guess it's a thing.  Ray's gets extra kudos for what I've heard second-hand about their great treatment of employees. It seems like they go all out for their people with events like their employee Christmas party and summer camp-out."
"74","5/19/2017","Gretchen B.","North Canton, OH",4,"Not sure what happened tonight?  Kitchen was REALLY REALLY slow. Cjrcked in on yelp nearly 50 minutes ago. One  or two drinks later and we are still waiting on food.   We are hungry!!!  Big change ..... very disappointed, no more flat iron steak with Blue chhese"
